
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  1.1609E+01  2.3911E+01  3.0398E+02  5.8031E+00  3.9064E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.1701E+00  1.4750E+01  1.7571E+02  5.8258E+00  3.7097E+03  1.1615E+03  1.0000E+00
   0.0000E+00  1.2239E+01  1.1532E+01  1.4185E+02  6.2409E+00  3.7717E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.5598E+00  7.1110E+00  8.2088E+01  6.2495E+00  3.5887E+03  1.1418E+03  1.0000E+00
   0.0000E+00  1.2869E+01  1.2334E+01  1.5199E+02  6.1856E+00  3.7822E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.9491E+00  7.6058E+00  8.7942E+01  6.1938E+00  3.5979E+03  1.1429E+03  1.0000E+00
   0.0000E+00  1.3498E+01  1.3134E+01  1.6212E+02  6.1344E+00  3.7919E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.3380E+00  8.0999E+00  9.3796E+01  6.1422E+00  3.6066E+03  1.1439E+03  1.0000E+00
   0.0000E+00  1.4127E+01  1.3934E+01  1.7225E+02  6.0867E+00  3.8011E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.7267E+00  8.5932E+00  9.9649E+01  6.0942E+00  3.6147E+03  1.1448E+03  1.0000E+00
   0.0000E+00  1.4755E+01  1.4732E+01  1.8238E+02  6.0421E+00  3.8098E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.1150E+00  9.0858E+00  1.0550E+02  6.0492E+00  3.6224E+03  1.1457E+03  1.0000E+00
   0.0000E+00  1.5383E+01  1.5530E+01  1.9252E+02  6.0002E+00  3.8180E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.5030E+00  9.5778E+00  1.1135E+02  6.0071E+00  3.6296E+03  1.1465E+03  1.0000E+00
   0.0000E+00  1.6010E+01  1.6326E+01  2.0265E+02  5.9608E+00  3.8258E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.8907E+00  1.0069E+01  1.1720E+02  5.9674E+00  3.6365E+03  1.1473E+03  1.0000E+00
   0.0000E+00  1.6637E+01  1.7122E+01  2.1278E+02  5.9236E+00  3.8332E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0278E+01  1.0560E+01  1.2306E+02  5.9299E+00  3.6430E+03  1.1481E+03  1.0000E+00
   0.0000E+00  1.7263E+01  1.7916E+01  2.2291E+02  5.8884E+00  3.8402E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0665E+01  1.1050E+01  1.2891E+02  5.8943E+00  3.6492E+03  1.1488E+03  1.0000E+00
   0.0000E+00  1.7889E+01  1.8710E+01  2.3305E+02  5.8549E+00  3.8470E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1052E+01  1.1540E+01  1.3476E+02  5.8606E+00  3.6552E+03  1.1495E+03  1.0000E+00
   0.0000E+00  1.8514E+01  1.9503E+01  2.4318E+02  5.8231E+00  3.8534E+03  0.0000E+00  0.0000E+00
